"city","thehour","Weekday","Journeys"
"antwerp",11,1,1103.62307692308
"antwerp",12,0,957.076923076923
"antwerp",12,1,1439.84615384615
"antwerp",13,0,972.269230769231
"antwerp",13,1,1619.1
"antwerp",14,0,916.943396226415
"antwerp",14,1,1405.81538461538
"antwerp",15,0,850.461538461538
"antwerp",15,1,1164.08461538462
"antwerp",16,0,715.754716981132
"antwerp",16,1,905.076923076923
"antwerp",17,0,634.528301886792
"antwerp",17,1,759.461538461538
"antwerp",18,0,589.283018867925
"antwerp",18,1,690.415384615385
"antwerp",19,0,495.924528301887
"antwerp",19,1,530.538461538462
"antwerp",20,0,390.211538461538
"antwerp",20,1,353.2
"antwerp",21,0,285.811320754717
"antwerp",21,1,220.007692307692
"antwerp",22,0,205.358490566038
"antwerp",22,1,150.469230769231
"antwerp",23,0,153.962264150943
"antwerp",23,1,102.638461538462
"anxi",0,0,419.277777777778
"anxi",0,1,402.634146341463
"anxi",1,0,553.611111111111
"anxi",1,1,716.365853658537
"anxi",2,0,610.222222222222
"anxi",2,1,651.19512195122
"anxi",3,0,625.722222222222
"anxi",3,1,631.878048780488
"anxi",4,0,462.888888888889
"anxi",4,1,537.19512195122
"anxi",5,0,457.888888888889
"anxi",5,1,536.175
"anxi",6,0,473.5
"anxi",6,1,531.560975609756
"anxi",7,0,256.166666666667
"anxi",7,1,252.073170731707
"anxi",8,0,203.388888888889
"anxi",8,1,208.5
"anxi",9,0,127.833333333333
"anxi",9,1,127.857142857143
"anxi",10,0,90.5555555555556
"anxi",10,1,93.6428571428571
"anxi",11,0,53.2222222222222
"anxi",11,1,49.5238095238095
"anxi",12,0,28.7222222222222
"anxi",12,1,26.1190476190476
"anxi",13,0,55.5555555555556
"anxi",13,1,59.8095238095238
"anxi",14,0,361.888888888889
"anxi",14,1,545.333333333333
"anxi",15,0,556.333333333333
"anxi",15,1,659.761904761905
"anxi",16,0,461.111111111111
"anxi",16,1,511.238095238095
"anxi",17,0,378.944444444444
"anxi",17,1,365.952380952381
"anxi",18,0,338.388888888889
"anxi",18,1,279.404761904762
"anxi",19,0,509.777777777778
"anxi",19,1,605.904761904762
"anxi",20,0,275.888888888889
"anxi",20,1,289.071428571429
"anxi",21,0,491.944444444444
"anxi",21,1,573.02380952381
"anxi",22,0,432.222222222222
"anxi",22,1,372.238095238095
"anxi",23,0,380.777777777778
"anxi",23,1,314.5
"aral",0,0,4.33333333333333
"aral",0,1,8.97457627118644
"aral",1,0,3.6046511627907
"aral",1,1,7.04385964912281
"aral",2,0,3.60975609756098
"aral",2,1,5.26724137931035
"aral",3,0,3.73913043478261
"aral",3,1,5.15702479338843
"aral",4,0,3.37777777777778
"aral",4,1,6.4
"aral",5,0,4.45454545454545
"aral",5,1,5.69421487603306
"aral",6,0,5.28260869565217
"aral",6,1,5.22222222222222
"aral",7,0,3.53488372093023
"aral",7,1,3.27358490566038
"aral",8,0,2.97368421052632
"aral",8,1,3.27083333333333
"aral",9,0,2.1875
"aral",9,1,2.42696629213483
"aral",10,0,2.65714285714286
"aral",10,1,2.68292682926829
"aral",11,0,2.65625
"aral",11,1,2.92105263157895
"aral",12,0,2.14285714285714
"aral",12,1,2.45833333333333
"aral",13,0,3.28571428571429
"aral",13,1,3.10294117647059
