"city","tzadj_hour","Weekday","Journeys"
"auckland",10,1,1.56666666666667
"auckland",11,0,2.76923076923077
"auckland",11,1,1.8
"auckland",12,0,3.18181818181818
"auckland",12,1,1.72972972972973
"auckland",13,0,2.7037037037037
"auckland",13,1,1.80952380952381
"auckland",14,0,2.81481481481481
"auckland",14,1,1.70833333333333
"auckland",15,0,2.44444444444444
"auckland",15,1,1.41791044776119
"auckland",16,0,3.3
"auckland",16,1,2.22522522522523
"auckland",17,0,1.83333333333333
"auckland",17,1,1.74712643678161
"auckland",18,0,3.33333333333333
"auckland",18,1,1.46153846153846
"auckland",19,0,2.25
"auckland",19,1,2.58823529411765
"auckland",20,0,2.5
"auckland",20,1,1.9
"auckland",21,0,2.11111111111111
"auckland",21,1,2
"auckland",22,0,2.11111111111111
"auckland",22,1,1.5
"auckland",23,0,1.375
"auckland",23,1,2.57142857142857
"augsburg",0,0,3.04545454545455
"augsburg",0,1,1.62962962962963
"augsburg",1,0,1.78260869565217
"augsburg",1,1,1.34782608695652
"augsburg",2,0,2.11538461538462
"augsburg",2,1,1.27777777777778
"augsburg",3,0,1.22727272727273
"augsburg",3,1,1.23809523809524
"augsburg",4,0,1.46153846153846
"augsburg",4,1,1.14814814814815
"augsburg",5,0,1.45454545454545
"augsburg",5,1,1.05882352941176
"augsburg",6,0,1.125
"augsburg",6,1,1.81730769230769
"augsburg",7,0,1.875
"augsburg",7,1,2.74074074074074
"augsburg",8,0,2.16666666666667
"augsburg",8,1,3.0990099009901
"augsburg",9,0,2.2
"augsburg",9,1,2.97727272727273
"augsburg",10,0,2.8974358974359
"augsburg",10,1,3.20618556701031
"augsburg",11,0,3.48837209302326
"augsburg",11,1,3.56730769230769
"augsburg",12,0,4.40476190476191
"augsburg",12,1,3.61224489795918
"augsburg",13,0,3.72727272727273
"augsburg",13,1,3.53333333333333
"augsburg",14,0,4.375
"augsburg",14,1,3.48148148148148
"augsburg",15,0,3.90243902439024
"augsburg",15,1,4.4344262295082
"augsburg",16,0,3.15
"augsburg",16,1,3.75
"augsburg",17,0,2.85
"augsburg",17,1,3.92436974789916
"augsburg",18,0,2.35
"augsburg",18,1,4.12396694214876
"augsburg",19,0,3.15151515151515
"augsburg",19,1,2.98076923076923
"augsburg",20,0,2.64285714285714
"augsburg",20,1,2
"augsburg",21,0,2.04545454545455
"augsburg",21,1,1.71830985915493
"augsburg",22,0,2
"augsburg",22,1,1.46666666666667
"augsburg",23,0,1.64705882352941
"augsburg",23,1,1.55555555555556
"austin",0,0,19.8867924528302
"austin",0,1,14.1171875
"austin",1,0,21.7592592592593
"austin",1,1,12.8253968253968
"austin",2,0,18.8518518518519
"austin",2,1,9.16071428571429
"austin",3,0,8.3
"austin",3,1,5.96907216494845
"austin",4,0,4.04
"austin",4,1,3.54651162790698
"austin",5,0,3.45945945945946
"austin",5,1,5.16153846153846
"austin",6,0,3.04255319148936
"austin",6,1,10.1162790697674
"austin",7,0,6.94339622641509
"austin",7,1,28.3769230769231
"austin",8,0,15.7169811320755
"austin",8,1,60.2
"austin",9,0,30.3333333333333
"austin",9,1,63.4
"austin",10,0,51.7592592592593
"austin",10,1,66.5846153846154
"austin",11,0,70.3703703703704
"austin",11,1,71.1230769230769
"austin",12,0,82.1481481481482
"austin",12,1,77.2
"austin",13,0,81.2037037037037
"austin",13,1,73.9307692307692
"austin",14,0,81.8301886792453
"austin",14,1,70.3461538461538
"austin",15,0,80.2962962962963
"austin",15,1,70.5615384615385
"austin",16,0,72.3703703703704
"austin",16,1,72.0461538461538
"austin",17,0,68.4814814814815
"austin",17,1,79.6846153846154
"austin",18,0,67.2452830188679
"austin",18,1,74.6564885496183
"austin",19,0,65.8301886792453
"austin",19,1,66.8076923076923
"austin",20,0,54.8867924528302
"austin",20,1,55.8625954198473
"austin",21,0,44.4528301886792
"austin",21,1,45.9230769230769
"austin",22,0,38.9622641509434
"austin",22,1,37.1307692307692
"austin",23,0,31.6792452830189
"austin",23,1,27.4307692307692
"avignon",0,0,4.5
"avignon",0,1,4.66666666666667
"avignon",1,0,3.16129032258065
"avignon",1,1,3.13953488372093
"avignon",2,0,3
"avignon",2,1,2.41935483870968
"avignon",3,0,1.88888888888889
"avignon",3,1,1.2
"avignon",4,0,1.41666666666667
